 X	PSI		Ne	Te	Zeff	SigmaH	 Stotal		NSL		Power	LinIonDens
 26.3112	0.698555		1.019e+020	6.31677	1.661		7.14997e-017	7.1533e-021		0.392784	0.675174	0.492149
 26.3212	0.692761		1.019e+020	6.39416	1.661		7.14162e-017	7.14499e-021		0.400065	0.670276	0.488011
 26.3312	0.686971		1.019e+020	6.45606	1.66123		7.13502e-017	7.13842e-021		0.407339	0.665418	0.484029
 26.3412	0.681219		1.019e+020	6.51329	1.66153		7.12898e-017	7.13241e-021		0.414607	0.6606	0.480119
 26.3512	0.67551		1.019e+020	6.57008	1.66182		7.12305e-017	7.1265e-021		0.421869	0.65582	0.47625
 26.3612	0.669807		1.019e+020	6.63414	1.66215		7.11642e-017	7.11991e-021		0.429124	0.651079	0.47237
 26.3712	0.664108		1.019e+020	6.70986	1.66254		7.10868e-017	7.1122e-021		0.436372	0.646378	0.468451
 26.3812	0.658414		1.019e+020	6.78552	1.66293		7.10104e-017	7.1046e-021		0.443611	0.641715	0.464575
 26.3912	0.652725		1.02028e+020	6.86144	1.66332		7.09448e-017	7.09808e-021		0.450853	0.637084	0.461379
 26.4012	0.647041		1.02184e+020	6.93736	1.66371		7.08823e-017	7.09188e-021		0.4581	0.632484	0.458346
 26.4112	0.641381		1.023e+020	7.01517	1.66407		7.08157e-017	7.08526e-021		0.465348	0.627916	0.455128
 26.4212	0.635787		1.023e+020	7.09865	1.66436		7.07354e-017	7.07728e-021		0.472588	0.623387	0.451335
 26.4312	0.630198		1.023e+020	7.18206	1.66465		7.06563e-017	7.0694e-021		0.47982	0.618895	0.447585
 26.4412	0.624613		1.023e+020	7.26541	1.66493		7.05782e-017	7.06164e-021		0.487044	0.61444	0.443875
 26.4512	0.619033		1.023e+020	7.37034	1.66544		7.04813e-017	7.052e-021		0.494258	0.610023	0.440083
 26.4612	0.613458		1.023e+020	7.48041	1.66601		7.03812e-017	7.04206e-021		0.501463	0.605644	0.436308
 26.4712	0.607888		1.023e+020	7.53583	1.66629		7.03315e-017	7.03711e-021		0.508661	0.6013	0.432874
 26.4812	0.602323		1.023e+020	7.59119	1.66658		7.02822e-017	7.03221e-021		0.515855	0.59699	0.429471
 26.4912	0.596856		1.023e+020	7.64558	1.66686		7.02341e-017	7.02743e-021		0.523044	0.592713	0.426105
 26.5012	0.591393		1.023e+020	7.71353	1.66714		7.01746e-017	7.02152e-021		0.530228	0.588471	0.4227
 26.5112	0.585935		1.023e+020	7.79526	1.66742		7.01038e-017	7.01448e-021		0.537403	0.584263	0.419257
 26.5212	0.580482		1.023e+020	7.87692	1.6677		7.00339e-017	7.00753e-021		0.544572	0.58009	0.41585
 26.5312	0.575034		1.023e+020	7.9585	1.66798		6.99648e-017	7.00067e-021		0.551734	0.57595	0.412478
 26.5412	0.56959		1.023e+020	8.06485	1.66834		6.9876e-017	6.99184e-021		0.558886	0.571846	0.409021
 26.5512	0.564152		1.023e+020	8.17325	1.66872		6.97867e-017	6.98298e-021		0.56603	0.567775	0.405595
 26.5612	0.558795		1.023e+020	8.27404	1.66906		6.97049e-017	6.97485e-021		0.573165	0.563738	0.402243
 26.5712	0.553473		1.023e+020	8.35374	1.66933		6.9641e-017	6.9685e-021		0.580294	0.559734	0.399022
 26.5812	0.548155		1.023e+020	8.43337	1.66961		6.95778e-017	6.96223e-021		0.587416	0.555761	0.395833
 26.5912	0.542842		1.023e+020	8.51293	1.66988		6.95153e-017	6.95602e-021		0.594532	0.551821	0.392676
 26.6012	0.537534		1.023e+020	8.60712	1.6702		6.94422e-017	6.94876e-021		0.601641	0.547912	0.389487
 26.6112	0.532231		1.023e+020	8.71282	1.67057		6.93611e-017	6.94071e-021		0.608741	0.544035	0.386284
 26.6212	0.526932		1.023e+020	8.81843	1.67093		6.92813e-017	6.93278e-021		0.615834	0.54019	0.383116
 26.6312	0.521685		1.023e+020	8.90222	1.67122		6.92186e-017	6.92657e-021		0.622919	0.536376	0.38007
 26.6412	0.516517		1.023e+020	8.97975	1.67148		6.91613e-017	6.92087e-021		0.629999	0.532592	0.377078
 26.6512	0.511353		1.023e+020	9.05721	1.67175		6.91045e-017	6.91524e-021		0.637074	0.528838	0.374115
 26.6612	0.506194		1.023e+020	9.13459	1.67203		6.90484e-017	6.90967e-021		0.644142	0.525113	0.371181
 26.6712	0.501039		1.023e+020	9.21177	1.67256		6.89928e-017	6.90416e-021		0.651205	0.521417	0.368274
 26.6812	0.49589		1.023e+020	9.28888	1.67309		6.89379e-017	6.8987e-021		0.658263	0.51775	0.365396
 26.6912	0.490745		1.023e+020	9.36592	1.67362		6.88835e-017	6.89331e-021		0.665315	0.514112	0.362544
 26.7012	0.485606		1.023e+020	9.44978	1.6741		6.88249e-017	6.88749e-021		0.67236	0.510502	0.359695
 26.7112	0.480606		1.023e+020	9.54944	1.67444		6.87559e-017	6.88065e-021		0.679399	0.506921	0.356817
 26.7212	0.475611		1.023e+020	9.649	1.67478		6.86879e-017	6.8739e-021		0.686431	0.503369	0.353969
 26.7312	0.470621		1.023e+020	9.73919	1.67509		6.86269e-017	6.86785e-021		0.693457	0.499845	0.351181
 26.7412	0.465635		1.023e+020	9.81257	1.67535		6.85777e-017	6.86297e-021		0.700478	0.496348	0.348477
 26.7512	0.460654		1.023e+020	9.88587	1.6756		6.8529e-017	6.85814e-021		0.707494	0.492878	0.345797
 26.7612	0.455678		1.023e+020	9.95911	1.67586		6.84807e-017	6.85335e-021		0.714505	0.489434	0.343141
 26.7712	0.450707		1.023e+020	10.0439	1.67611		6.84253e-017	6.84786e-021		0.72151	0.486018	0.340473
 26.7812	0.445826		1.023e+020	10.1415	1.67636		6.83622e-017	6.8416e-021		0.728509	0.482628	0.337789
 26.7912	0.441016		1.023e+020	10.2377	1.67661		6.83006e-017	6.83549e-021		0.735502	0.479265	0.335136
 26.8012	0.43621		1.023e+020	10.3338	1.67686		6.82397e-017	6.82946e-021		0.742488	0.475928	0.332509
 26.8112	0.431409		1.023e+020	10.4432	1.677		6.81712e-017	6.82266e-021		0.749468	0.472618	0.329868
 26.8212	0.426612		1.023e+020	10.5713	1.677		6.8092e-017	6.81481e-021		0.756439	0.469335	0.327199
 26.8312	0.421821		1.023e+020	10.6993	1.677		6.80138e-017	6.80707e-021		0.763403	0.466078	0.324559
 26.8412	0.417034		1.023e+020	10.8063	1.67709		6.79494e-017	6.80068e-021		0.77036	0.462846	0.322006
 26.8512	0.412264		1.023e+020	10.8772	1.67734		6.7907e-017	6.79648e-021		0.777313	0.459639	0.319578
